Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
5.2,0.6251,0.6319,0.8008,"[150829.0, 153271.0, 143180.0, 146813.0]","[49356.0, 60782.0, 72201.0, 85369.0]","[468293.0, 506227.0, 516122.0, 500882.0]","[1456.52, 1658.39, 2415.09, 2930.89]"
5.4,0.6253,0.6281,0.8007,"[151511.0, 154008.0, 143978.0, 147577.0]","[47439.0, 58435.0, 69289.0, 82215.0]","[469528.0, 507837.0, 518236.0, 503273.0]","[1456.52, 1658.39, 2417.42, 2931.5]"
5.6,0.6254,0.6244,0.8005,"[152166.0, 154718.0, 144753.0, 148319.0]","[45627.0, 56214.0, 66527.0, 79216.0]","[470685.0, 509348.0, 520224.0, 505529.0]","[1456.52, 1658.39, 2419.56, 2932.08]"
5.8,0.6255,0.6207,0.8004,"[152795.0, 155403.0, 145504.0, 149040.0]","[43914.0, 54110.0, 63906.0, 76364.0]","[471768.0, 510767.0, 522094.0, 507661.0]","[1456.52, 1658.39, 2421.54, 2932.62]"
6.0,0.6256,0.6171,0.8003,"[153400.0, 156063.0, 146231.0, 149740.0]","[42293.0, 52117.0, 61419.0, 73649.0]","[472785.0, 512100.0, 523853.0, 509675.0]","[1456.52, 1658.39, 2423.36, 2933.13]"
6.2,0.6257,0.6134,0.8002,"[153980.0, 156699.0, 146937.0, 150420.0]","[40758.0, 50227.0, 59057.0, 71066.0]","[473740.0, 513355.0, 525509.0, 511579.0]","[1456.52, 1658.39, 2425.03, 2933.6]"
6.4,0.6258,0.6098,0.8001,"[154539.0, 157312.0, 147620.0, 151081.0]","[39302.0, 48433.0, 56815.0, 68605.0]","[474637.0, 514535.0, 527068.0, 513379.0]","[1456.52, 1658.39, 2426.58, 2934.04]"
6.6,0.6259,0.6063,0.8,"[155075.0, 157904.0, 148281.0, 151722.0]","[37922.0, 46729.0, 54685.0, 66260.0]","[475481.0, 515647.0, 528537.0, 515082.0]","[1456.52, 1658.39, 2428.04, 2934.43]"
6.8,0.6259,0.6028,0.7999,"[155591.0, 158474.0, 148921.0, 152345.0]","[36611.0, 45111.0, 52662.0, 64026.0]","[476276.0, 516695.0, 529920.0, 516694.0]","[1456.52, 1658.39, 2429.38, 2934.8]"
7.0,0.626,0.5993,0.7998,"[156088.0, 159024.0, 149541.0, 152951.0]","[35366.0, 43572.0, 50738.0, 61895.0]","[477024.0, 517684.0, 531224.0, 518219.0]","[1456.52, 1658.39, 2430.57, 2935.14]"
7.2,0.626,0.5958,0.7997,"[156565.0, 159555.0, 150140.0, 153539.0]","[34182.0, 42108.0, 48909.0, 59862.0]","[477731.0, 518617.0, 532454.0, 519664.0]","[1456.52, 1658.39, 2431.12, 2935.46]"
7.4,0.626,0.5924,0.7996,"[157025.0, 160067.0, 150720.0, 154110.0]","[33055.0, 40715.0, 47169.0, 57921.0]","[478398.0, 519498.0, 533614.0, 521033.0]","[1456.52, 1658.39, 2431.12, 2935.76]"
7.6,0.626,0.589,0.7996,"[157467.0, 160561.0, 151281.0, 154665.0]","[31983.0, 39387.0, 45514.0, 56069.0]","[479028.0, 520332.0, 534708.0, 522331.0]","[1456.52, 1658.39, 2431.12, 2936.05]"
7.8,0.6261,0.5856,0.7995,"[157893.0, 161038.0, 151823.0, 155205.0]","[30961.0, 38122.0, 43938.0, 54298.0]","[479624.0, 521120.0, 535742.0, 523562.0]","[1456.52, 1658.39, 2431.12, 2936.31]"
8.0,0.6261,0.5823,0.7994,"[158304.0, 161499.0, 152348.0, 155729.0]","[29987.0, 36915.0, 42437.0, 52606.0]","[480187.0, 521866.0, 536719.0, 524730.0]","[1456.52, 1658.39, 2431.12, 2936.56]"
8.2,0.6261,0.579,0.7994,"[158699.0, 161943.0, 152854.0, 156238.0]","[29057.0, 35764.0, 41007.0, 50988.0]","[480722.0, 522573.0, 537642.0, 525839.0]","[1456.52, 1658.39, 2431.12, 2936.79]"
8.4,0.6261,0.5757,0.7993,"[159080.0, 162373.0, 153344.0, 156733.0]","[28170.0, 34664.0, 39644.0, 49440.0]","[481228.0, 523243.0, 538514.0, 526891.0]","[1456.52, 1658.39, 2431.12, 2937.02]"
8.6,0.6261,0.5724,0.7992,"[159448.0, 162788.0, 153817.0, 157215.0]","[27322.0, 33613.0, 38345.0, 47959.0]","[481708.0, 523879.0, 539340.0, 527892.0]","[1456.52, 1658.39, 2431.12, 2937.23]"
8.8,0.6261,0.5692,0.7992,"[159802.0, 163189.0, 154275.0, 157682.0]","[26512.0, 32609.0, 37106.0, 46540.0]","[482164.0, 524482.0, 540122.0, 528843.0]","[1456.52, 1658.39, 2431.12, 2937.43]"
9.0,0.626,0.566,0.7991,"[160144.0, 163577.0, 154717.0, 158137.0]","[25737.0, 31648.0, 35923.0, 45180.0]","[482598.0, 525056.0, 540863.0, 529747.0]","[1456.52, 1658.39, 2431.12, 2937.62]"
